user_id,governorate,governorate_code,current_package_id,current_package_size_gb,current_package_price,current_speed_mbps,number_of_devices,device_group,renewal_date,days_passed,days_until_renewal,usage_so_far_gb,remaining_gb,projected_usage_gb,actual_speed_mbps,user_profile,recommended_package_id,is_change
31043321,Alexandria,03,STD-1111-140,140,210,30,3,small (1-4),2026-05-03,14,16,26.68,113.32,57.17,17.32,casual,STD-1111-140,0
20013389,Cairo,02,STD-3333-600,600,1230,100,7,large (5-9),2026-05-10,7,23,196.65,403.35,842.79,37.8,over,STD-2222-1000,1
28637940,Cairo,02,STD-1111-140,140,210,30,4,small (1-4),2026-05-08,9,21,19.82,120.18,66.07,15.0,casual,STD-1111-140,0
22351161,Giza,02,STD-2222-250,250,530,70,5,large (5-9),2026-05-05,12,18,153.21,96.79,383.02,31.3,over,STD-2222-600,1
47940781,Kafr El Sheikh,047,STD-2222-600,600,1040,70,3,small (1-4),2026-04-20,27,3,630.0,0.0,700.0,40.41,over,STD-2222-1000,1
84959310,Faiyum,084,STD-2222-250,250,530,70,5,large (5-9),2026-04-22,25,5,262.5,0.0,315.0,31.3,over,STD-1111-400,1
47413164,Kafr El Sheikh,047,STD-3333-600,600,1230,100,2,small (1-4),2026-05-05,12,18,303.62,296.38,759.05,70.71,over,STD-2222-1000,1
82341928,Beni Suef,082,STD-2222-250,250,530,70,2,small (1-4),2026-05-11,6,24,67.24,182.76,336.2,49.5,over,STD-1111-400,1
27648350,Cairo,02,STD-4444-1000,1000,1760,200,1,small (1-4),2026-05-08,9,21,248.21,751.79,827.37,200.0,heavy,STD-4444-1000,0
45139537,Beheira,045,STD-2222-250,250,530,70,5,large (5-9),2026-04-26,21,9,262.5,0.0,375.0,31.3,over,STD-2222-600,1
65724238,Red Sea,065,STD-4444-1000,1000,1760,200,6,large (5-9),2026-04-28,19,11,537.06,462.94,847.99,81.65,normal,STD-4444-1000,0
95653287,Qena,095,STD-1111-200,200,290,30,3,small (1-4),2026-05-15,2,28,14.52,185.48,217.8,17.32,over,STD-2222-250,1
31226916,Alexandria,03,STD-3333-250,250,700,100,7,large (5-9),2026-04-29,18,12,262.5,0.0,437.5,37.8,over,STD-2222-600,1
40018451,Gharbia,040,STD-1111-1000,1000,1360,30,7,large (5-9),2026-05-11,6,24,319.82,680.18,1599.1,11.34,over,STD-5555-1000,1
62704828,Suez,062,STD-3333-600,600,1230,100,1,small (1-4),2026-04-26,21,9,588.01,11.99,840.01,100.0,over,STD-2222-1000,1
66893252,Port Said,066,STD-1111-140,140,210,30,1,small (1-4),2026-04-22,25,5,68.58,71.42,82.3,30.0,normal,STD-1111-140,0
88809570,Assiut,088,STD-1111-200,200,290,30,3,small (1-4),2026-04-21,26,4,140.39,59.61,161.99,17.32,heavy,STD-1111-200,0
34303911,Alexandria,03,STD-3333-250,250,700,100,4,small (1-4),2026-04-20,27,3,205.13,44.87,227.92,50.0,normal,STD-3333-250,0
21822782,Cairo,02,STD-2222-600,600,1040,70,4,small (1-4),2026-05-10,7,23,94.8,505.2,406.29,35.0,normal,STD-2222-600,0
55834657,Sharqia,055,STD-1111-140,140,210,30,3,small (1-4),2026-05-02,15,15,71.96,68.04,143.92,17.32,heavy,STD-1111-140,0
21331509,Cairo,02,STD-2222-1000,1000,1560,70,3,small (1-4),2026-04-24,23,7,756.72,243.28,987.03,40.41,heavy,STD-2222-1000,0
20310518,Giza,02,STD-2222-250,250,530,70,5,large (5-9),2026-04-25,22,8,191.83,58.17,261.59,31.3,heavy,STD-1111-400,1
27382997,Giza,02,STD-4444-1000,1000,1760,200,8,large (5-9),2026-05-13,4,26,209.24,790.76,1569.3,70.71,over,STD-5555-1000,1
88165667,Assiut,088,STD-3333-250,250,700,100,2,small (1-4),2026-05-15,2,28,12.72,237.28,190.8,70.71,normal,STD-3333-250,0
